author details,urls,unique ID,book title,author name,rating,book description,book_cover_links,v4 UUID
,https://www.goodreads.com/book/show/27362503-it-ends-with-us?from_search=true&from_srp=true&qid=1t02z5usua&rank=1,27362503,It Ends with Us,by Colleen Hoover (Goodreads Author),4.42,"Sometimes it is the one who loves you who hurts you the most.

Lily hasn’t always had it easy, but that’s never stopped her from working hard for the life she wants. She’s come a long way from the small town in Maine where she grew up — she graduated from college, moved to Boston, and started her own business. So when she feels a spark with a gorgeous neurosurgeon named Ryle Kincaid, everything in Lily’s life suddenly seems almost too good to be true.

Ryle is assertive, stubborn, maybe even a little arrogant. He’s also sensitive, brilliant, and has a total soft spot for Lily. And the way he looks in scrubs certainly doesn’t hurt. Lily can’t get him out of her head. But Ryle’s complete aversion to relationships is disturbing. Even as Lily finds herself becoming the exception to his “no dating” rule, she can’t help but wonder what made him that way in the first place.

As questions about her new relationship overwhelm her, so do thoughts of Atlas Corrigan — her first love and a link to the past she left behind. He was her kindred spirit, her protector. When Atlas suddenly reappears, everything Lily has built with Ryle is threatened. (less)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470427482l/27362503._SY475_.jpg,e9120344-a163-46ad-8df0-dc8b6a9ef54e
,https://www.goodreads.com/book/show/58341222-reminders-of-him?from_search=true&from_srp=true&qid=1t02z5usua&rank=2,58341222,Reminders of Him,by Colleen Hoover (Goodreads Author),4.55,"A troubled young mother yearns for a shot at redemption in this heartbreaking yet hopeful story from #1 New York Times bestselling author Colleen Hoover. After serving five years in prison for a tragic mistake, Kenna Rowan returns to the town where it all went wrong, hoping to reunite with her four-year-old daughter. But the bridges Kenna burned are proving impossible to rebuild. Everyone in her daughter’s life is determined to shut Kenna out, no matter how hard she works to prove herself. The only person who hasn’t closed the door on her completely is Ledger Ward, a local bar owner and one of the few remaining links to Kenna’s daughter. But if anyone were to discover how Ledger is slowly becoming an important part of Kenna’s life, both would risk losing the trust of everyone important to them. The two form a connection despite the pressure surrounding them, but as their romance grows, so does the risk. Kenna must find a way to absolve the mistakes of her past in order to build a future out of hope and healing. (less)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627673942l/58341222._SY475_.jpg,ad2a79bd-2c17-40a0-a325-1a9d6b7b024f
,https://www.goodreads.com/book/show/17788401-ugly-love?from_search=true&from_srp=true&qid=1t02z5usua&rank=3,17788401,Ugly Love,by Colleen Hoover (Goodreads Author),4.25,"When Tate Collins meets airline pilot Miles Archer, she knows it isn’t love at first sight. They wouldn’t even go so far as to consider themselves friends. The only thing Tate and Miles have in common is an undeniable mutual attraction. Once their desires are out in the open, they realize they have the perfect set-up. He doesn’t want love, she doesn’t have time for love, so that just leaves the sex. Their arrangement could be surprisingly seamless, as long as Tate can stick to the only two rules Miles has for her.

Never ask about the past.
Don’t expect a future.

They think they can handle it, but realize almost immediately they can’t handle it at all.

Hearts get infiltrated.
Promises get broken.
Rules get shattered.
Love gets ugly. (less)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632597571l/17788401._SY475_.jpg,fe8f00e1-d644-4d7d-b41d-6cd6b1e8862f
,https://www.goodreads.com/book/show/25111004-november-9?from_search=true&from_srp=true&qid=1t02z5usua&rank=4,25111004,November 9,by Colleen Hoover (Goodreads Author),4.32,"Fallon meets Ben, an aspiring novelist, the day before her scheduled cross-country move. Their untimely attraction leads them to spend Fallon’s last day in L.A. together, and her eventful life becomes the creative inspiration Ben has always sought for his novel. Over time and amidst the various relationships and tribulations of their own separate lives, they continue to meet on the same date every year. Until one day Fallon becomes unsure if Ben has been telling her the truth or fabricating a perfect reality for the sake of the ultimate plot twist.

Can Ben’s relationship with Fallon—and simultaneously his novel—be considered a love story if it ends in heartbreak?

Beloved #1 New York Times bestselling author Colleen Hoover returns with an unforgettable love story between a writer and his unexpected muse. (less)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447138036l/25111004._SY475_.jpg,644232ea-7140-4098-ae3b-04d75287d02e
,https://www.goodreads.com/book/show/21952567-maybe-someday?from_search=true&from_srp=true&qid=1t02z5usua&rank=5,21952567,Maybe Someday: by Colleen Hoover | Summary & Analysis,by Book*Sense,4.43,"Maybe Someday: by Colleen Hoover | Summary & Analysis

This is a Summary & Analysis of the original book. Colleen Hoover exercises her creativity, to depict a contemporary love story, Maybe Someday. The narrative is driven by themes of love, music, love of music and thoroughly modern form of communication.
Shakespeare wrote in Twelfth Night, “If music be the food of love, play on!” Music is most decidedly the food of love in this novel, and they do indeed play on -- right up until the end.

Maybe Someday was written with a definite target audience in mind. This book will appeal to older teens and young adults, particularly females. For others, it will appear somewhat similar to other love stories that they will have read in the past that deals with love triangles, and the pain, joy and complications that surround relationships. What sets it apart, however, is the unique approach that Colleen Hoover takes.

She has created a novel that incorporates music as an essential theme while, at the same time, her main male protagonist is deaf. It imbues the story with an interesting angle. The innovative touches in Maybe Someday saves the novel from being formulaic, and it is filled with wonderful emotional expressiveness. (less)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397958627l/21952567.jpg,332e18ce-08f1-4ac4-a7d1-f527b5d24dc3
,https://www.goodreads.com/book/show/59344312-verity?from_search=true&from_srp=true&qid=1t02z5usua&rank=6,59344312,Verity,by Colleen Hoover (Goodreads Author),4.43,"Lowen Ashleigh is a struggling writer on the brink of financial ruin when she accepts the job offer of a lifetime. Jeremy Crawford, husband of bestselling author Verity Crawford, has hired Lowen to complete the remaining books in a successful series his injured wife is unable to finish.

Lowen arrives at the Crawford home, ready to sort through years of Verity's notes and outlines, hoping to find enough material to get her started. What Lowen doesn't expect to uncover in the chaotic office is an unfinished autobiography Verity never intended for anyone to read. Page after page of bone-chilling admissions, including Verity's recollection of what really happened the day her daughter died.

Lowen decides to keep the manuscript hidden from Jeremy, knowing its contents would devastate the already grieving father. But as Lowen's feelings for Jeremy begin to intensify, she recognizes all the ways she could benefit if he were to read his wife's words. After all, no matter how devoted Jeremy is to his injured wife, a truth this horrifying would make it impossible for him to continue to love her. (less)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1634158558l/59344312._SY475_.jpg,c0f8b706-f60c-4099-bd68-cffa480c4bd6
,https://www.goodreads.com/book/show/15717943-hopeless?from_search=true&from_srp=true&qid=1t02z5usua&rank=7,15717943,Hopeless,by Colleen Hoover (Goodreads Author),4.28,"Sometimes discovering the truth can leave you more hopeless than believing the lies…

That’s what seventeen-year-old Sky realizes after she meets Dean Holder. A guy with a reputation that rivals her own and an uncanny ability to invoke feelings in her she’s never had before. He terrifies her and captivates her all in the span of just one encounter, and something about the way he makes her feel sparks buried memories from a past that she wishes could just stay buried.

Sky struggles to keep him at a distance knowing he’s nothing but trouble, but Holder insists on learning everything about her. After finally caving to his unwavering pursuit, Sky soon finds that Holder isn’t at all who he’s been claiming to be. When the secrets he’s been keeping are finally revealed, every single facet of Sky’s life will change forever. (less)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353489892l/15717943.jpg,670aad93-ba5c-46eb-adf8-48e4abd781a1
,https://www.goodreads.com/book/show/44582454-regretting-you?from_search=true&from_srp=true&qid=1t02z5usua&rank=8,44582454,Regretting You,by Colleen Hoover (Goodreads Author),4.23,"Morgan Grant and her sixteen-year-old daughter, Clara, would like nothing more than to be nothing alike.

Morgan is determined to prevent her daughter from making the same mistakes she did. By getting pregnant and married way too young, Morgan put her own dreams on hold. Clara doesn’t want to follow in her mother’s footsteps. Her predictable mother doesn’t have a spontaneous bone in her body.

With warring personalities and conflicting goals, Morgan and Clara find it increasingly difficult to coexist. The only person who can bring peace to the household is Chris—Morgan’s husband, Clara’s father, and the family anchor. But that peace is shattered when Chris is involved in a tragic and questionable accident. The heartbreaking and long-lasting consequences will reach far beyond just Morgan and Clara.

While struggling to rebuild everything that crashed around them, Morgan finds comfort in the last person she expects to, and Clara turns to the one boy she’s been forbidden to see. With each passing day, new secrets, resentment, and misunderstandings make mother and daughter fall further apart. So far apart, it might be impossible for them to ever fall back together. (less)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559332442l/44582454._SY475_.jpg,6be160b2-b81e-4d01-a617-c3edd4696755
,https://www.goodreads.com/book/show/51007311-heart-bones?from_search=true&from_srp=true&qid=1t02z5usua&rank=9,51007311,Heart Bones,by Colleen Hoover (Goodreads Author),4.36,"Life and a dismal last name are the only two things Beyah Grim's parents ever gave her. After carving her path all on her own, Beyah is well on her way to bigger and better things, thanks to no one but herself.

With only two short months separating her from the future she's built and the past she desperately wants to leave behind, an unexpected death leaves Beyah with no place to go during the interim. Forced to reach out to her last resort, Beyah has to spend the remainder of her summer on a peninsula in Texas with a father she barely knows. Beyah's plan is to keep her head down and let the summer slip by seamlessly, but her new neighbor Samson throws a wrench in that plan.

Samson and Beyah have nothing in common on the surface.

She comes from a life of poverty and neglect; he comes from a family of wealth and privilege. But one thing they do have in common is that they're both drawn to sad things. Which means they're drawn to each other. With an almost immediate connection too intense for them to continue denying, Beyah and Samson agree to stay in the shallow end of a summer fling. What Beyah doesn't realize is that a rip current is coming, and it's about to drag her heart out to sea. (less)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580936060l/51007311._SY475_.jpg,6461e63a-af03-4ea4-b93a-9cf5f8b134b3
,https://www.goodreads.com/book/show/52089753-layla?from_search=true&from_srp=true&qid=1t02z5usua&rank=10,52089753,Layla,by Colleen Hoover (Goodreads Author),3.78,"From #1 New York Times bestselling author Colleen Hoover comes a novel that explores life after tragedy and the enduring spirit of love.

When Leeds meets Layla, he’s convinced he’ll spend the rest of his life with her—until an unexpected attack leaves Layla fighting for her life. After weeks in the hospital, Layla recovers physically, but the emotional and mental scarring has altered the woman Leeds fell in love with. In order to put their relationship back on track, Leeds whisks Layla away to the bed-and-breakfast where they first met. Once they arrive, Layla’s behavior takes a bizarre turn. And that’s just one of many inexplicable occurrences.

Feeling distant from Layla, Leeds soon finds solace in Willow—another guest of the B&B with whom he forms a connection through their shared concerns. As his curiosity for Willow grows, his decision to help her find answers puts him in direct conflict with Layla’s well-being. Leeds soon realizes he has to make a choice because he can’t help both of them. But if he makes the wrong choice, it could be detrimental for all of them.
(less)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1593095775l/52089753._SY475_.jpg,8e20ac3b-c025-4caf-84f4-b0395a0c5ad2
